year	address.country_code	num_entries	corpus
2008	au	4873	springer
2009	au	5152	springer
2010	au	5536	springer
2011	au	6589	springer
2012	au	7431	springer
2013	au	8477	springer
2014	au	9161	springer
2015	au	10250	springer
2016	au	10892	springer
2017	au	11303	springer
2018	au	11702	springer
2019	au	12151	springer
2020	au	14520	springer
2005	az	114	springer
2006	az	127	springer
2007	az	171	springer
2008	az	224	springer
2009	az	260	springer
2010	az	263	springer
2011	az	306	springer
2012	az	0	springer
2013	az	247	springer
2014	az	258	springer
2015	az	271	springer
2016	az	279	springer
2017	az	0	springer
2018	az	0	springer
2019	az	386	springer
2020	az	405	springer
2005	ba	8	springer
2006	ba	16	springer
2007	ba	33	springer
2008	ba	34	springer
2009	ba	25	springer
2010	ba	30	springer
2011	ba	39	springer
2012	ba	45	springer
2013	ba	52	springer
2014	ba	50	springer
2015	ba	64	springer
2016	ba	65	springer
2017	ba	74	springer
2018	ba	101	springer
2019	ba	104	springer
2020	ba	137	springer
2005	bb	13	springer
2006	bb	15	springer
2007	bb	14	springer
2008	bb	20	springer
2009	bb	13	springer
2010	bb	13	springer
2011	bb	14	springer
2012	bb	13	springer
2013	bb	20	springer
2014	bb	13	springer
2015	bb	22	springer
2016	bb	21	springer
2017	bb	25	springer
2018	bb	18	springer
2019	bb	26	springer
2020	bb	18	springer
2005	bd	74	springer
2006	bd	82	springer
2007	bd	112	springer
2008	bd	127	springer
2009	bd	128	springer
2010	bd	186	springer
2011	bd	238	springer
2012	bd	289	springer
2013	bd	394	springer
2014	bd	472	springer
2015	bd	527	springer
2016	bd	577	springer
2017	bd	628	springer
2018	bd	617	springer
2019	bd	913	springer
2020	bd	1250	springer
2005	be	1715	springer
2006	be	1929	springer
2007	be	2192	springer
2008	be	2455	springer
2009	be	2429	springer
2010	be	2860	springer
2011	be	3240	springer
2012	be	3396	springer
2013	be	3616	springer
2014	be	3843	springer
2015	be	4266	springer
2016	be	4417	springer
2017	be	4518	springer
2018	be	4629	springer
2019	be	4674	springer
2020	be	5720	springer
2005	bf	22	springer
2006	bf	29	springer
2007	bf	15	springer
2008	bf	47	springer
2009	bf	67	springer
2010	bf	61	springer
2011	bf	62	springer
2012	bf	101	springer
2013	bf	90	springer
2014	bf	98	springer
2015	bf	110	springer
2016	bf	112	springer
2017	bf	140	springer
2018	bf	130	springer
2019	bf	124	springer
2020	bf	129	springer
2005	bg	271	springer
2006	bg	302	springer
2007	bg	331	springer
2008	bg	383	springer
2009	bg	349	springer
2010	bg	340	springer
2011	bg	389	springer
2012	bg	408	springer
2013	bg	449	springer
2014	bg	418	springer
2015	bg	372	springer
2016	bg	452	springer
2017	bg	510	springer
2018	bg	467	springer
2019	bg	493	springer
2020	bg	578	springer
2005	bh	10	springer
2006	bh	15	springer
2007	bh	22	springer
2008	bh	21	springer
2009	bh	27	springer
2010	bh	22	springer
2011	bh	22	springer
2012	bh	23	springer
2013	bh	35	springer
2014	bh	28	springer
2015	bh	41	springer
2016	bh	58	springer
2017	bh	57	springer
2018	bh	61	springer
2019	bh	80	springer
2020	bh	122	springer
2005	bi	2	springer
2006	bi	0	springer
2007	bi	4	springer
2008	bi	0	springer
2009	bi	2	springer
2010	bi	5	springer
2011	bi	6	springer
2012	bi	6	springer
2013	bi	8	springer
2014	bi	5	springer
2015	bi	11	springer
2016	bi	12	springer
2017	bi	6	springer
2018	bi	23	springer
2019	bi	16	springer
2020	bi	16	springer
2005	bj	15	springer
2006	bj	20	springer
2007	bj	28	springer
2008	bj	36	springer
2009	bj	34	springer
2010	bj	51	springer
2011	bj	57	springer
2012	bj	69	springer
2013	bj	91	springer
2014	bj	96	springer
2015	bj	95	springer
2016	bj	96	springer
2017	bj	108	springer
2018	bj	110	springer
2019	bj	134	springer
2020	bj	155	springer
2005	bn	3	springer
2006	bn	5	springer
2007	bn	7	springer
2008	bn	12	springer
2009	bn	8	springer
2010	bn	14	springer
2011	bn	7	springer
2012	bn	14	springer
2013	bn	15	springer
2014	bn	21	springer
2015	bn	29	springer
2016	bn	57	springer
2017	bn	69	springer
2018	bn	45	springer
2019	bn	57	springer
2020	bn	97	springer
2005	bo	17	springer
2006	bo	16	springer
2007	bo	26	springer
2008	bo	28	springer
2009	bo	15	springer
2010	bo	22	springer
2011	bo	33	springer
2012	bo	28	springer
2013	bo	23	springer
2014	bo	35	springer
2015	bo	38	springer
2016	bo	44	springer
2017	bo	43	springer
2018	bo	54	springer
2019	bo	60	springer
2020	bo	59	springer
2005	br	1776	springer
2006	br	2036	springer
2007	br	2588	springer
2008	br	2985	springer
2009	br	3230	springer
2010	br	3494	springer
2011	br	4403	springer
2012	br	4739	springer
2013	br	5680	springer
2014	br	6439	springer
2015	br	7200	springer
2016	br	7021	springer
2017	br	7885	springer
2018	br	8516	springer
2019	br	9170	springer
2020	br	12241	springer
2005	bs	1	springer
2006	bs	0	springer
2007	bs	3	springer
2008	bs	2	springer
2009	bs	7	springer
2010	bs	2	springer
2011	bs	5	springer
2012	bs	4	springer
2013	bs	8	springer
2014	bs	8	springer
2015	bs	9	springer
2016	bs	4	springer
2017	bs	15	springer
2018	bs	13	springer
2019	bs	15	springer
2020	bs	16	springer
2005	bt	5	springer
2006	bt	5	springer
2007	bt	4	springer
2008	bt	0	springer
2009	bt	1	springer
2010	bt	8	springer
2011	bt	6	springer
2012	bt	8	springer
2013	bt	7	springer
2014	bt	11	springer
2015	bt	12	springer
2016	bt	22	springer
2017	bt	17	springer
2018	bt	15	springer
2019	bt	21	springer
2020	bt	30	springer
2005	bw	8	springer
2006	bw	35	springer
2007	bw	22	springer
2008	bw	24	springer
2009	bw	29	springer
2010	bw	20	springer
2011	bw	39	springer
2012	bw	35	springer
2013	bw	50	springer
2014	bw	59	springer
2015	bw	52	springer
2016	bw	71	springer
2017	bw	68	springer
2018	bw	88	springer
2019	bw	105	springer
2020	bw	135	springer
2005	by	507	springer
2006	by	598	springer
2007	by	613	springer
2008	by	709	springer
2009	by	683	springer
2010	by	625	springer
2011	by	697	springer
2012	by	0	springer
2013	by	655	springer
2014	by	656	springer
2015	by	618	springer
2016	by	0	springer
2017	by	0	springer
2018	by	0	springer
2019	by	0	springer
2020	by	700	springer
2005	bz	2	springer
2006	bz	2	springer
2007	bz	0	springer
2008	bz	1	springer
2009	bz	2	springer
2010	bz	4	springer
2011	bz	2	springer
2012	bz	1	springer
2013	bz	5	springer
2014	bz	1	springer
2015	bz	11	springer
2016	bz	5	springer
2017	bz	7	springer
2018	bz	4	springer
2019	bz	10	springer
2020	bz	7	springer
2005	ca	5483	springer
2006	ca	6218	springer
2007	ca	6548	springer
2008	ca	7063	springer
2009	ca	7033	springer
2010	ca	7988	springer
2011	ca	8754	springer
2012	ca	9261	springer
2013	ca	10058	springer
2014	ca	10915	springer
2015	ca	11458	springer
2016	ca	11654	springer
2017	ca	12365	springer
2018	ca	12673	springer
2019	ca	13193	springer
2020	ca	16060	springer
2005	cd	17	springer
2006	cd	13	springer
2007	cd	17	springer
2008	cd	15	springer
2009	cd	24	springer
2010	cd	27	springer
2011	cd	42	springer
2012	cd	53	springer
2013	cd	49	springer
2014	cd	60	springer
2015	cd	82	springer
2016	cd	88	springer
2017	cd	96	springer
2018	cd	89	springer
2019	cd	97	springer
2020	cd	122	springer
2005	cf	1	springer
2006	cf	0	springer
2007	cf	3	springer
2008	cf	3	springer
2009	cf	1	springer
2010	cf	7	springer
2011	cf	7	springer
2012	cf	10	springer
2013	cf	4	springer
2014	cf	7	springer
2015	cf	9	springer
2016	cf	15	springer
2017	cf	10	springer
2018	cf	13	springer
2019	cf	7	springer
2020	cf	10	springer
2005	cg	2	springer
2006	cg	6	springer
2007	cg	3	springer
2008	cg	2	springer
2009	cg	10	springer
2010	cg	8	springer
2011	cg	5	springer
2012	cg	10	springer
2013	cg	5	springer
2014	cg	14	springer
2015	cg	17	springer
2016	cg	18	springer
2017	cg	7	springer
2018	cg	12	springer
2019	cg	16	springer
2020	cg	28	springer
2005	ch	2511	springer
2006	ch	2901	springer
2007	ch	3175	springer
2008	ch	3544	springer
2009	ch	3499	springer
2010	ch	4035	springer
2011	ch	4620	springer
2012	ch	4887	springer
2013	ch	5392	springer
2014	ch	5684	springer
2015	ch	6206	springer
2016	ch	6475	springer
2017	ch	7145	springer
2018	ch	7359	springer
2019	ch	7656	springer
2020	ch	9095	springer
2005	ci	0	springer
2006	ci	0	springer
2007	ci	0	springer
2008	ci	0	springer
2009	ci	0	springer
2010	ci	0	springer
2011	ci	0	springer
2012	ci	0	springer
2013	ci	0	springer
2014	ci	0	springer
2015	ci	0	springer
2016	ci	0	springer
2017	ci	0	springer
2018	ci	0	springer
2019	ci	0	springer
2020	ci	0	springer
2005	ck	1	springer
2006	ck	0	springer
2007	ck	0	springer
2008	ck	0	springer
2009	ck	0	springer
2010	ck	0	springer
2011	ck	1	springer
2012	ck	1	springer
2013	ck	1	springer
2014	ck	1	springer
2015	ck	1	springer
2016	ck	0	springer
2017	ck	0	springer
2018	ck	4	springer
2019	ck	0	springer
2020	ck	2	springer
2005	cl	266	springer
2006	cl	323	springer
2007	cl	310	springer
2008	cl	418	springer
2009	cl	420	springer
2010	cl	495	springer
2011	cl	594	springer
2012	cl	0	springer
2013	cl	800	springer
2014	cl	952	springer
2015	cl	1058	springer
2016	cl	1203	springer
2017	cl	1291	springer
2018	cl	1400	springer
2019	cl	1612	springer
2020	cl	1963	springer
2005	cm	26	springer
2006	cm	51	springer
2007	cm	48	springer
2008	cm	88	springer
2009	cm	87	springer
2010	cm	99	springer
2011	cm	125	springer
2012	cm	151	springer
2013	cm	180	springer
2014	cm	237	springer
2015	cm	276	springer
2016	cm	272	springer
2017	cm	389	springer
2018	cm	392	springer
2019	cm	390	springer
2020	cm	490	springer
2005	cn	10193	springer
2006	cn	13354	springer
2007	cn	15680	springer
2008	cn	19363	springer
2009	cn	21483	springer
2010	cn	24841	springer
2011	cn	28565	springer
2012	cn	32314	springer
2013	cn	37921	springer
2014	cn	45216	springer
2015	cn	50883	springer
2016	cn	56246	springer
2017	cn	58711	springer
2018	cn	62120	springer
2019	cn	70932	springer
2020	cn	85685	springer
2005	co	98	springer
2006	co	140	springer
2007	co	130	springer
2008	co	150	springer
2009	co	209	springer
2010	co	265	springer
2011	co	391	springer
2012	co	512	springer
2013	co	543	springer
2014	co	574	springer
2015	co	761	springer
2016	co	844	springer
2017	co	942	springer
2018	co	1023	springer
2019	co	1159	springer
2020	co	1472	springer
2005	cr	41	springer
2006	cr	38	springer
2007	cr	43	springer
2008	cr	46	springer
2009	cr	58	springer
2010	cr	50	springer
2011	cr	68	springer
2012	cr	54	springer
2013	cr	61	springer
2014	cr	76	springer
2015	cr	76	springer
2016	cr	89	springer
2017	cr	121	springer
2018	cr	112	springer
2019	cr	137	springer
2020	cr	167	springer
2005	cu	58	springer
2006	cu	87	springer
2007	cu	84	springer
2008	cu	92	springer
2009	cu	104	springer
2010	cu	86	springer
2011	cu	113	springer
2012	cu	131	springer
2013	cu	133	springer
2014	cu	115	springer
2015	cu	123	springer
2016	cu	126	springer
2017	cu	149	springer
2018	cu	153	springer
2019	cu	167	springer
2020	cu	211	springer
2005	cv	0	springer
2006	cv	0	springer
2007	cv	0	springer
2008	cv	1	springer
2009	cv	0	springer
2010	cv	1	springer
2011	cv	1	springer
2012	cv	3	springer
2013	cv	3	springer
2014	cv	6	springer
2015	cv	5	springer
2016	cv	4	springer
2017	cv	6	springer
2018	cv	3	springer
2019	cv	5	springer
2020	cv	1	springer
2005	cy	40	springer
2006	cy	61	springer
2007	cy	77	springer
2008	cy	82	springer
2009	cy	97	springer
2010	cy	113	springer
2011	cy	180	springer
2012	cy	159	springer
2013	cy	220	springer
2014	cy	221	springer
2015	cy	238	springer
2016	cy	288	springer
2017	cy	305	springer
2018	cy	387	springer
2019	cy	358	springer
2020	cy	500	springer
2005	cz	815	springer
2006	cz	1190	springer
2007	cz	1096	springer
2008	cz	1299	springer
2009	cz	1248	springer
2010	cz	1478	springer
2011	cz	1509	springer
2012	cz	1686	springer
2013	cz	1900	springer
2014	cz	1970	springer
2015	cz	2221	springer
2016	cz	2403	springer
2017	cz	2510	springer
2018	cz	2474	springer
2019	cz	2640	springer
2020	cz	2925	springer
2005	de	13564	springer
2006	de	15427	springer
2007	de	17982	springer
2008	de	19776	springer
2009	de	19860	springer
2010	de	21868	springer
2011	de	23969	springer
2012	de	24639	springer
2013	de	26321	springer
2014	de	27403	springer
2015	de	28353	springer
2016	de	29856	springer
2017	de	31396	springer
2018	de	31899	springer
2019	de	33186	springer
2020	de	40599	springer
2005	dj	0	springer
2006	dj	0	springer
2007	dj	0	springer
2008	dj	0	springer
2009	dj	1	springer
2010	dj	0	springer
2011	dj	1	springer
2012	dj	1	springer
2013	dj	1	springer
2014	dj	1	springer
2015	dj	1	springer
2016	dj	1	springer
2017	dj	6	springer
2018	dj	3	springer
2019	dj	3	springer
2020	dj	3	springer
2005	dk	1198	springer
2006	dk	1402	springer
2007	dk	1372	springer
2008	dk	1679	springer
2009	dk	1614	springer
2010	dk	1924	springer
2011	dk	2157	springer
2012	dk	2457	springer
2013	dk	2670	springer
2014	dk	2991	springer
2015	dk	3344	springer
2016	dk	3566	springer
2017	dk	3795	springer
2018	dk	3707	springer
2019	dk	4046	springer
2020	dk	4677	springer
2005	do	0	springer
2006	do	1	springer
2007	do	8	springer
2008	do	7	springer
2009	do	4	springer
2010	do	7	springer
2011	do	8	springer
2012	do	8	springer
2013	do	13	springer
2014	do	16	springer
2015	do	19	springer
2016	do	8	springer
2017	do	18	springer
2018	do	16	springer
2019	do	27	springer
2020	do	37	springer
2005	dz	89	springer
2006	dz	105	springer
2007	dz	134	springer
2008	dz	158	springer
2009	dz	173	springer
2010	dz	214	springer
2011	dz	281	springer
2012	dz	349	springer
2013	dz	491	springer
2014	dz	585	springer
2015	dz	607	springer
2016	dz	807	springer
2017	dz	967	springer
2018	dz	1004	springer
2019	dz	1138	springer
2020	dz	1438	springer
2005	ec	15	springer
2006	ec	27	springer
2007	ec	34	springer
2008	ec	31	springer
2009	ec	33	springer
2010	ec	36	springer
2011	ec	57	springer
2012	ec	59	springer
2013	ec	77	springer
2014	ec	112	springer
2015	ec	147	springer
2016	ec	177	springer
2017	ec	294	springer
2018	ec	295	springer
2019	ec	338	springer
2020	ec	420	springer
2005	ee	145	springer
2006	ee	151	springer
2007	ee	162	springer
2008	ee	182	springer
2009	ee	164	springer
2010	ee	227	springer
2011	ee	267	springer
2012	ee	312	springer
2013	ee	342	springer
2014	ee	365	springer
2015	ee	345	springer
2016	ee	407	springer
2017	ee	448	springer
2018	ee	455	springer
2019	ee	537	springer
2020	ee	549	springer
2005	eg	380	springer
2006	eg	440	springer
2007	eg	531	springer
2008	eg	728	springer
2009	eg	804	springer
2010	eg	960	springer
2011	eg	1293	springer
2012	eg	1629	springer
2013	eg	1970	springer
2014	eg	2153	springer
2015	eg	2430	springer
2016	eg	2576	springer
2017	eg	2917	springer
2018	eg	3529	springer
2019	eg	4582	springer
2020	eg	6055	springer
2005	er	6	springer
2006	er	7	springer
2007	er	4	springer
2008	er	2	springer
2009	er	4	springer
2010	er	2	springer
2011	er	3	springer
2012	er	1	springer
2013	er	4	springer
2014	er	4	springer
2015	er	7	springer
2016	er	8	springer
2017	er	11	springer
2018	er	16	springer
2019	er	21	springer
2020	er	20	springer
2005	es	3331	springer
2006	es	4008	springer
2007	es	4557	springer
2008	es	5090	springer
2009	es	5061	springer
2010	es	6003	springer
2011	es	6950	springer
2012	es	7417	springer
2013	es	8201	springer
2014	es	8344	springer
2015	es	8931	springer
2016	es	9058	springer
2017	es	9670	springer
2018	es	9713	springer
2019	es	10505	springer
2020	es	12576	springer
2005	et	61	springer
2006	et	62	springer
2007	et	74	springer
2008	et	101	springer
2009	et	119	springer
2010	et	154	springer
2011	et	147	springer
2012	et	254	springer
2013	et	365	springer
2014	et	489	springer
2015	et	528	springer
2016	et	569	springer
2017	et	814	springer
2018	et	1123	springer
2019	et	1378	springer
2020	et	1551	springer
2005	fi	1149	springer
2006	fi	1277	springer
2007	fi	1350	springer
2008	fi	1532	springer
2009	fi	1410	springer
2010	fi	1627	springer
2011	fi	1895	springer
2012	fi	1938	springer
2013	fi	1997	springer
2014	fi	2245	springer
2015	fi	2309	springer
2016	fi	2488	springer
2017	fi	2643	springer
2018	fi	2613	springer
2019	fi	2767	springer
2020	fi	3271	springer
2005	fj	12	springer
2006	fj	10	springer
2007	fj	16	springer
2008	fj	8	springer
2009	fj	18	springer
2010	fj	11	springer
2011	fj	24	springer
2012	fj	22	springer
2013	fj	26	springer
2014	fj	38	springer
2015	fj	26	springer
2016	fj	41	springer
2017	fj	43	springer
2018	fj	44	springer
2019	fj	55	springer
2020	fj	70	springer
2005	fm	0	springer
2006	fm	1	springer
2007	fm	3	springer
2008	fm	1	springer
2009	fm	0	springer
2010	fm	0	springer
2011	fm	0	springer
2012	fm	2	springer
2013	fm	2	springer
2014	fm	2	springer
2015	fm	0	springer
2016	fm	0	springer
2017	fm	5	springer
2018	fm	0	springer
2019	fm	2	springer
2020	fm	7	springer
2005	fo	4	springer
2006	fo	3	springer
2007	fo	2	springer
2008	fo	2	springer
2009	fo	1	springer
2010	fo	3	springer
2011	fo	1	springer
2012	fo	4	springer
2013	fo	5	springer
2014	fo	9	springer
2015	fo	6	springer
2016	fo	9	springer
2017	fo	9	springer
2018	fo	9	springer
2019	fo	19	springer
2020	fo	16	springer
2005	fr	6393	springer
2006	fr	7082	springer
2007	fr	7518	springer
2008	fr	8532	springer
2009	fr	8541	springer
2010	fr	9082	springer
2011	fr	10429	springer
2012	fr	10544	springer
2013	fr	11486	springer
2014	fr	12117	springer
2015	fr	12942	springer
2016	fr	13677	springer
2017	fr	14066	springer
2018	fr	13749	springer
2019	fr	14113	springer
2020	fr	16564	springer
2005	ga	14	springer
2006	ga	11	springer
2007	ga	13	springer
2008	ga	22	springer
2009	ga	15	springer
2010	ga	25	springer
2011	ga	24	springer
2012	ga	31	springer
2013	ga	29	springer
2014	ga	36	springer
2015	ga	35	springer
2016	ga	39	springer
2017	ga	29	springer
2018	ga	30	springer
2019	ga	39	springer
2020	ga	39	springer
2005	gb	10201	springer
2006	gb	11357	springer
2007	gb	11895	springer
2008	gb	13316	springer
2009	gb	12969	springer
2010	gb	13938	springer
2011	gb	15441	springer
2012	gb	15983	springer
2013	gb	17912	springer
2014	gb	18491	springer
2015	gb	20655	springer
2016	gb	21020	springer
2017	gb	22482	springer
2018	gb	23071	springer
2019	gb	24838	springer
2020	gb	30287	springer
2005	gd	0	springer
2006	gd	2	springer
2007	gd	8	springer
2008	gd	11	springer
2009	gd	5	springer
2010	gd	5	springer
2011	gd	12	springer
2012	gd	17	springer
2013	gd	13	springer
2014	gd	16	springer
2015	gd	19	springer
2016	gd	22	springer
2017	gd	39	springer
2018	gd	33	springer
2019	gd	36	springer
2020	gd	53	springer
2005	gg	0	springer
2006	gg	0	springer
2007	gg	0	springer
2008	gg	0	springer
2009	gg	0	springer
2010	gg	0	springer
2011	gg	0	springer
2012	gg	0	springer
2013	gg	0	springer
2014	gg	0	springer
2015	gg	0	springer
2016	gg	0	springer
2017	gg	0	springer
2018	gg	2	springer
2019	gg	0	springer
2020	gg	1	springer
2005	gh	36	springer
2006	gh	51	springer
2007	gh	73	springer
2008	gh	77	springer
2009	gh	68	springer
2010	gh	116	springer
2011	gh	148	springer
2012	gh	187	springer
2013	gh	192	springer
2014	gh	235	springer
2015	gh	360	springer
2016	gh	481	springer
2017	gh	502	springer
2018	gh	547	springer
2019	gh	576	springer
2020	gh	762	springer
2005	gi	0	springer
2006	gi	1	springer
2007	gi	1	springer
2008	gi	0	springer
2009	gi	0	springer
2010	gi	0	springer
2011	gi	0	springer
2012	gi	1	springer
2013	gi	0	springer
2014	gi	0	springer
2015	gi	1	springer
2016	gi	1	springer
2017	gi	0	springer
2018	gi	1	springer
2019	gi	2	springer
2020	gi	1	springer
2005	gl	4	springer
2006	gl	6	springer
2007	gl	6	springer
2008	gl	7	springer
2009	gl	8	springer
2010	gl	11	springer
2011	gl	18	springer
2012	gl	19	springer
2013	gl	22	springer
2014	gl	24	springer
2015	gl	20	springer
2016	gl	16	springer
2017	gl	33	springer
2018	gl	20	springer
2019	gl	23	springer
2020	gl	19	springer
2005	gm	15	springer
2006	gm	19	springer
2007	gm	16	springer
2008	gm	18	springer
2009	gm	20	springer
2010	gm	16	springer
2011	gm	21	springer
2012	gm	23	springer
2013	gm	24	springer
2014	gm	33	springer
2015	gm	36	springer
2016	gm	42	springer
2017	gm	41	springer
2018	gm	48	springer
2019	gm	54	springer
2020	gm	67	springer
2005	gn	2	springer
2006	gn	2	springer
2007	gn	3	springer
2008	gn	6	springer
2009	gn	1	springer
2010	gn	4	springer
2011	gn	8	springer
2012	gn	10	springer
2013	gn	4	springer
2014	gn	5	springer
2015	gn	17	springer
2016	gn	27	springer
2017	gn	27	springer
2018	gn	16	springer
2019	gn	22	springer
2020	gn	28	springer
2005	gq	0	springer
2006	gq	3	springer
2007	gq	2	springer
2008	gq	1	springer
2009	gq	1	springer
2010	gq	0	springer
2011	gq	2	springer
2012	gq	6	springer
2013	gq	1	springer
2014	gq	1	springer
2015	gq	3	springer
2016	gq	4	springer
2017	gq	3	springer
2018	gq	5	springer
2019	gq	6	springer
2020	gq	6	springer
2005	gr	1250	springer
2006	gr	1576	springer
2007	gr	1539	springer
2008	gr	2076	springer
2009	gr	1981	springer
2010	gr	2140	springer
2011	gr	2214	springer
2012	gr	2305	springer
2013	gr	2316	springer
2014	gr	2381	springer
2015	gr	2444	springer
2016	gr	2363	springer
2017	gr	2520	springer
2018	gr	2483	springer
2019	gr	2537	springer
2020	gr	3170	springer
2005	gs	0	springer
2006	gs	0	springer
2007	gs	0	springer
2008	gs	0	springer
2009	gs	0	springer
2010	gs	0	springer
2011	gs	0	springer
2012	gs	0	springer
2013	gs	0	springer
2014	gs	0	springer
2015	gs	0	springer
2016	gs	0	springer
2017	gs	0	springer
2018	gs	0	springer
2019	gs	0	springer
2020	gs	0	springer
2005	gt	6	springer
2006	gt	5	springer
2007	gt	7	springer
2008	gt	9	springer
2009	gt	14	springer
2010	gt	11	springer
2011	gt	21	springer
2012	gt	20	springer
2013	gt	20	springer
2014	gt	28	springer
2015	gt	50	springer
2016	gt	41	springer
2017	gt	46	springer
2018	gt	40	springer
2019	gt	48	springer
2020	gt	74	springer
2005	gy	2	springer
2006	gy	0	springer
2007	gy	4	springer
2008	gy	3	springer
2009	gy	3	springer
2010	gy	2	springer
2011	gy	2	springer
2012	gy	5	springer
2013	gy	1	springer
2014	gy	4	springer
2015	gy	4	springer
2016	gy	2	springer
2017	gy	2	springer
2018	gy	9	springer
2019	gy	10	springer
2020	gy	11	springer
2005	hn	0	springer
2006	hn	0	springer
2007	hn	2	springer
2008	hn	0	springer
2009	hn	5	springer
2010	hn	4	springer
2011	hn	6	springer
2012	hn	12	springer
2013	hn	12	springer
2014	hn	7	springer
2015	hn	16	springer
2016	hn	15	springer
2017	hn	18	springer
2018	hn	31	springer
2019	hn	21	springer
2020	hn	33	springer
2005	hr	220	springer
2006	hr	295	springer
2007	hr	332	springer
2008	hr	313	springer
2009	hr	308	springer
2010	hr	372	springer
2011	hr	444	springer
2012	hr	521	springer
2013	hr	519	springer
2014	hr	548	springer
2015	hr	531	springer
2016	hr	599	springer
2017	hr	635	springer
2018	hr	669	springer
2019	hr	709	springer
2020	hr	912	springer
2005	ht	1	springer
2006	ht	1	springer
2007	ht	0	springer
2008	ht	4	springer
2009	ht	1	springer
2010	ht	4	springer
2011	ht	5	springer
2012	ht	1	springer
2013	ht	8	springer
2014	ht	16	springer
2015	ht	14	springer
2016	ht	14	springer
2017	ht	15	springer
2018	ht	9	springer
2019	ht	16	springer
2020	ht	20	springer
2005	hu	832	springer
2006	hu	913	springer
2007	hu	1097	springer
2008	hu	1083	springer
2009	hu	1005	springer
2010	hu	996	springer
2011	hu	1125	springer
2012	hu	0	springer
2013	hu	1317	springer
2014	hu	1389	springer
2015	hu	1451	springer
2016	hu	1491	springer
2017	hu	1526	springer
2018	hu	1586	springer
2019	hu	1651	springer
2020	hu	2078	springer
2005	id	114	springer
