query	address.country_code	un_region	un_subregion	hand_edited	Freq	query_date	place_id	osm_type	display_name	class	type	importance	address.country	reviewed
scd	pt	Europe	Southern Europe	FALSE	NA	2021-02-14	258697479	relation	Santa Comba DÃ£o, Viseu, Viseu DÃ£o-LafÃµes, Centro, Portugal	boundary	administrative	0.42786177459204	Portugal	FALSE
cis	it	Europe	Southern Europe	FALSE	NA	2021-02-14	257765982	relation	Cis, ComunitÃ  della Val di Non, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia	boundary	administrative	0.602404000879428	Italia	FALSE
lusc	de	Europe	Western Europe	FALSE	NA	2021-02-14	259209202	relation	Lauske - Å<81>usÄ<8d>, Puschwitz - BÃ³Å¡icy, Neschwitz - NjeswaÄ<8d>idÅ‚o, Bautzen, Sachsen, Deutschland	boundary	administrative	0.230361546636441	Deutschland	FALSE
neptune xiv	us	Americas	Northern America	FALSE	NA	2021-02-14	171708478	way	Neptune, Portola Springs, Irvine, Orange County, California, 92618, United States	highway	residential	0.2	United States	FALSE
clas collaboration	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
emc	us	Americas	Northern America	FALSE	NA	2021-02-14	99633098	way	EMC, Santa Clara, Santa Clara County, California, United States	landuse	commercial	0.3	United States	FALSE
air forces	co	Americas	South America	FALSE	NA	2021-02-14	62263318	node	AIR FORCES, Calle 24 Sur, Villavicencio, Capital, Meta, Orinoquia, 500008, Colombia	man_made	works	0.201	Colombia	FALSE
megarity	us	Americas	Northern America	FALSE	NA	2021-02-14	163354885	way	Catonsville Massage, 117, Melrose Avenue, Catonsville, Baltimore County, Maryland, 21228, United States	shop	massage	0.001	United States	FALSE
fnr	us	Americas	Northern America	FALSE	NA	2021-02-14	3094814	node	Funter Bay Seaplane Base, Trail, Funter, Unorganized Borough, Alaska, United States	aeroway	aerodrome	0.19324803174626	United States	FALSE
nadp	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
