query	query_date	place_id	osm_type	display_name	class	type	importance	address.country	address.country_code	un_region	un_subregion
aol	2021-02-03	165974980	way	Aeropuerto Paso De Los Libres, Avenida Arturo Frondizi, B 60 viv, 50 VIV G1,2,3,4, Municipio de Paso de los Libres, Departamento Paso de los Libres, Corrientes, W3230FLP, Argentina	aeroway	aerodrome	0.331005307834616	Argentina	ar	Americas	South America
university of buenos aires	2021-02-03	59478624	node	universidad de MorÃ³n, 221, Lima, Monserrat, Buenos Aires, Comuna 1, Ciudad AutÃ³noma de Buenos Aires, 1076, Argentina	amenity	school	0.201	Argentina	ar	Americas	South America
pierre auger observatory	2021-02-03	10519055	node	Observatorio Pierre Auger, 304, Avenida San MartÃ­n (Norte), MalargÃ¼e, Distrito Ciudad de MalargÃ¼e, Departamento MalargÃ¼e, Mendoza, Argentina	tourism	attraction	0.53489332460211	Argentina	ar	Americas	South America
conicet	2021-02-03	302226945	relation	CONICET, BahÃ­a Blanca, Partido de BahÃ­a Blanca, Buenos Aires, Argentina	boundary	administrative	0.4	Argentina	ar	Americas	South America
pfizer	2021-02-03	258561463	relation	Pfizer, Trujui, Partido de Moreno, Buenos Aires, Argentina	boundary	administrative	0.4	Argentina	ar	Americas	South America
subaru	2021-02-03	201692997	way	Subaru, MartÃ­nez Oeste, MartÃ­nez, Partido de San Isidro, Buenos Aires, Argentina	landuse	industrial	0.3	Argentina	ar	Americas	South America
giudice	2021-02-03	108561010	way	Giudice, ParanÃ¡, Municipio de ParanÃ¡, Distrito Sauce, Departamento ParanÃ¡, Entre RÃ­os, E3104HMA, Argentina	highway	residential	0.2	Argentina	ar	Americas	South America
saa	2021-02-03	251041075	way	Aeropuerto General Acha, 2356, Manuel J. Campos, General Acha, Municipio de General Acha, Departamento UtracÃ¡n, La Pampa, L8200, Argentina	aeroway	aerodrome	0.2885709817045	Argentina	ar	Americas	South America
laguna diamante	2021-02-03	184628204	way	Laguna Diamante, Departamento Antofagasta de la Sierra, Catamarca, K4705, Argentina	natural	water	0.4	Argentina	ar	Americas	South America
santa fe	2021-02-03	258372619	relation	Santa Fe, Argentina	boundary	administrative	0.771095269263292	Argentina	ar	Americas	South America
university of innsbruck	2021-02-03	95953179	way	UniversitÃ¤t Innsbruck Campus Innrain, InnerkoflerstraÃŸe, Innenstadt, Innsbruck, Tirol, 6020, Ã–sterreich	amenity	university	0.728386601652889	Ã–sterreich	at	Europe	Western Europe
university of vienna	2021-02-03	258520179	relation	UniversitÃ¤t Wien, 1, UniversitÃ¤tsring, Schottenviertel, Innere Stadt, Wien, 1010, Ã–sterreich	building	university	0.282582546755277	Ã–sterreich	at	Europe	Western Europe
central european university	2021-02-03	299890380	way	Central European University, 51, QuellenstraÃŸe, KG Favoriten, Favoriten, Wien, 1100, Ã–sterreich	amenity	university	0.749444237200763	Ã–sterreich	at	Europe	Western Europe
eib	2021-02-03	97328818	way	Umspannwerk Eibesbrunn, Eibesbrunn, Gemeinde GroÃŸebersdorf, Bezirk Mistelbach, NiederÃ¶sterreich, 2203, Ã–sterreich	landuse	industrial	0.3	Ã–sterreich	at	Europe	Western Europe
institute of science and technology austria	2021-02-03	3201906	node	Institute of Science and Technology (IST Austria), Am Campus, Maria Gugging, Gemeinde Klosterneuburg, Bezirk Tulln, NiederÃ¶sterreich, 3400, Ã–sterreich	amenity	university	0.601	Ã–sterreich	at	Europe	Western Europe
paho	2021-02-03	1154495	node	Per-Albin-Hansson-Siedlung Ost, KG Oberlaa Stadt, Favoriten, Wien, 1100, Ã–sterreich	place	neighbourhood	0.25	Ã–sterreich	at	Europe	Western Europe
university of salzburg	2021-02-03	120296912	way	UniversitÃ¤t Salzburg - Unipark, 1, Erzabt-Klotz-StraÃŸe, Nonntal, Salzburg, 5020, Ã–sterreich	amenity	university	0.577768525385992	Ã–sterreich	at	Europe	Western Europe
joanneum research	2021-02-03	100346870	way	JOANNEUM RESEARCH - DIGITAL Institut fÃ¼r Informations- und Kommunikationssysteme, 17, Steyrergasse, Jakomini, Graz, Steiermark, 8010, Ã–sterreich	building	yes	0.201	Ã–sterreich	at	Europe	Western Europe
space research institute	2021-02-03	119966043	way	Ã–sterreichische Akademie der Wissenschaften, Institut fÃ¼r Weltraumforschung, 6, SchmiedlstraÃŸe, Messendorfberg, Sankt Peter, Graz, Steiermark, 8042, Ã–sterreich	amenity	public_building	0.001	Ã–sterreich	at	Europe	Western Europe
gpg	2021-02-03	72976686	node	GPG, WollÃ¶ster, Kobledt, Eglsee, Burgkirchen, Bezirk Braunau am Inn, OberÃ¶sterreich, 5274, Ã–sterreich	shop	window_blind	0.101	Ã–sterreich	at	Europe	Western Europe
university of graz	2021-02-03	111433427	way	Institut fÃ¼r Amerikanistik, Karl-Franzens-UniversitÃ¤t Graz, 25, Attemsgasse, Univiertel, Geidorf, Graz, Steiermark, 8010, Ã–sterreich	building	university	0.101	Ã–sterreich	at	Europe	Western Europe
erwin schrödinger international institute for mathematical physics	2021-02-03	55212209	node	Erwin-SchrÃ¶dinger-Institut fÃ¼r Mathematische Physik, 9, Boltzmanngasse, Thurygrund, KG Alsergrund, Alsergrund, Wien, 1090, Ã–sterreich	amenity	university	0.516167966338533	Ã–sterreich	at	Europe	Western Europe
international institute for applied systems analysis	2021-02-03	41950525	node	IIASA, 1, Schlossplatz, Laxenburg, Gemeinde Laxenburg, Bezirk MÃ¶dling, NiederÃ¶sterreich, 2361, Ã–sterreich	office	research	0.001	Ã–sterreich	at	Europe	Western Europe
international energy agency	2021-02-03	149447246	way	Internationale Atomenergie-Organisation IAEO, Bruno-Kreisky-Platz, Donau City, KG KaisermÃ¼hlen, Donaustadt, Wien, 1220, Ã–sterreich	building	yes	0.101	Ã–sterreich	at	Europe	Western Europe
bec	2021-02-03	258128656	relation	Wien, Ã–sterreich	boundary	administrative	0.769412325825045	Ã–sterreich	at	Europe	Western Europe
taigen	2021-02-03	568295	node	Taigen, Irrsdorf, StraÃŸwalchen, Bezirk Salzburg-Umgebung, Salzburg, 5204, Ã–sterreich	place	hamlet	0.35	Ã–sterreich	at	Europe	Western Europe
institute of molecular pathology	2021-02-03	172663383	way	Research Institute of Molecular Pathology (IMP), 1, Campus-Vienna-Biocenter, Neu Marx, KG LandstraÃŸe, LandstraÃŸe, Wien, 1030, Ã–sterreich	amenity	research_institute	0.689701883147039	Ã–sterreich	at	Europe	Western Europe
circuit therapeutics	2021-02-03	193999341	way	Stuwerviertel, KG Leopoldstadt, Leopoldstadt, Wien, 1020, Ã–sterreich	highway	raceway	0.1	Ã–sterreich	at	Europe	Western Europe
graz university of technology	2021-02-03	258643242	relation	Technische UniversitÃ¤t Graz, Eduard-Richter-Gasse, Herz-Jesu-Viertel, Sankt Leonhard, Graz, Steiermark, 8010, Ã–sterreich	amenity	university	0.532228989952608	Ã–sterreich	at	Europe	Western Europe
ctbto	2021-02-03	148373856	way	Vienna International Centre, 5, Wagramer StraÃŸe, KG KaisermÃ¼hlen, Donaustadt, Wien, 1400, Ã–sterreich	place	house	0.392168689295747	Ã–sterreich	at	Europe	Western Europe
medical university of vienna	2021-02-03	258409826	relation	Ehemalige I. Med. Univ. Klink, 18-20, Michelbeuern, KG Alsergrund, Alsergrund, Wien, 1090, Ã–sterreich	landuse	brownfield	0.2	Ã–sterreich	at	Europe	Western Europe
international atomic energy agency	2021-02-03	149447246	way	Internationale Atomenergie-Organisation IAEO, Bruno-Kreisky-Platz, Donau City, KG KaisermÃ¼hlen, Donaustadt, Wien, 1220, Ã–sterreich	building	yes	0.101	Ã–sterreich	at	Europe	Western Europe
wehi	2021-02-03	258340208	relation	Gemeinde Weiler, Bezirk Feldkirch, Vorarlberg, 6837, Ã–sterreich	boundary	administrative	0.384723197268746	Ã–sterreich	at	Europe	Western Europe
austrian academy of sciences	2021-02-03	119966043	way	Ã–sterreichische Akademie der Wissenschaften, Institut fÃ¼r Weltraumforschung, 6, SchmiedlstraÃŸe, Messendorfberg, Sankt Peter, Graz, Steiermark, 8042, Ã–sterreich	amenity	public_building	0.001	Ã–sterreich	at	Europe	Western Europe
austria	2021-02-03	257659808	relation	Ã–sterreich	boundary	administrative	0.823043874164126	Ã–sterreich	at	Europe	Western Europe
nhm	2021-02-03	258348028	relation	Naturhistorisches Museum, 7, Burgring, Schottenviertel, Innere Stadt, Wien, 1010, Ã–sterreich	tourism	museum	0.441911671250342	Ã–sterreich	at	Europe	Western Europe
melk	2021-02-03	258502438	relation	Melk, Bezirk Melk, NiederÃ¶sterreich, 3281, Ã–sterreich	waterway	river	0.494052338771708	Ã–sterreich	at	Europe	Western Europe
ibs	2021-02-03	110424761	way	22, IBS, Teufenbach, Teufenbach-Katsch, Bezirk Murau, Steiermark, 8833, Ã–sterreich	landuse	industrial	0.3	Ã–sterreich	at	Europe	Western Europe
vienna university of technology	2021-02-03	258307874	relation	TU Wien, HauptgebÃ¤ude, Olga-Wisinger-Florian-Platz, Wieden, KG Wieden, Wieden, Wien, 1040, Ã–sterreich	building	university	0.286834742964615	Ã–sterreich	at	Europe	Western Europe
university of veterinary medicine vienna	2021-02-03	96379147	way	VeterinÃ¤rmedizinische UniversitÃ¤t, AngyalfÃ¶ldstraÃŸe, KG Leopoldau, Floridsdorf, Wien, 1210, Ã–sterreich	amenity	university	0.342242222837154	Ã–sterreich	at	Europe	Western Europe
gapp	2021-02-03	109776638	way	Gapp, 17, Grazbachgasse, Jakomini, Graz, Steiermark, 8010, Ã–sterreich	shop	safety_equipment	0.101	Ã–sterreich	at	Europe	Western Europe
areva	2021-02-03	108135800	way	Areva, Bergham, Enzenwinkl, Leonding, Bezirk Linz-Land, OberÃ¶sterreich, 4060, Ã–sterreich	landuse	commercial	0.3	Ã–sterreich	at	Europe	Western Europe
national press club	2021-02-03	125056817	way	National Press Club, National Circuit, Barton, South Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia	building	office	0.567719150556049	Australia	au	Oceania	Australia and New Zealand
australian institute of marine science	2021-02-03	174039789	way	Australian Institute of Marine Science, Cape Cleveland Road, Cape Cleveland, Townsville City, Queensland, Australia	office	research	0.501	Australia	au	Oceania	Australia and New Zealand
gold coast	2021-02-03	259463504	relation	Gold Coast City, Queensland, Australia	boundary	administrative	0.770120034131775	Australia	au	Oceania	Australia and New Zealand
university of melbourne	2021-02-03	258899917	relation	University of Melbourne, Royal Parade, Parkville, City of Melbourne, Victoria, 3010, Australia	amenity	university	0.849205724971094	Australia	au	Oceania	Australia and New Zealand
la trobe university	2021-02-03	59775555	node	La Trobe University, Arnold Street, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia	amenity	university	0.301	Australia	au	Oceania	Australia and New Zealand
australian institute of health and welfare	2021-02-03	115890715	way	Australian Institute of Health and Welfare, Belconnen Bikeway, Bruce, District of Belconnen, Australian Capital Territory, 2617, Australia	building	yes	0.601	Australia	au	Oceania	Australia and New Zealand
university of central america	2021-02-03	702491	node	Southern Cross University Coffs Harbour Campus, Doug Knight Drive, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia	amenity	university	0.201	Australia	au	Oceania	Australia and New Zealand
fss	2021-02-03	30204607	node	Flinders Street, Melbourne, City of Melbourne, Victoria, 3000, Australia	railway	station	0.427742562950671	Australia	au	Oceania	Australia and New Zealand
university of monash	2021-02-03	87739881	way	Monash University, Clayton Campus, Bus Loop, Clayton, City of Monash, Victoria, 3800, Australia	amenity	university	0.567719150556049	Australia	au	Oceania	Australia and New Zealand
australian broadcasting corporation	2021-02-03	154556170	way	Australian Broadcasting Corporation, 114, Grey Street, South Bank, South Brisbane, Brisbane City, Queensland, 4101, Australia	building	yes	0.889492484386201	Australia	au	Oceania	Australia and New Zealand
nuffield council	2021-02-03	131986368	way	Nuffield Park, Victoria Square, Zetland, Sydney, Council of the City of Sydney, New South Wales, 2017, Australia	leisure	park	0.35	Australia	au	Oceania	Australia and New Zealand
australian archaeological association	2021-02-03	136959246	way	Australian Local Government Association, 8, Geils Court, Deakin, Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia	building	yes	0.201	Australia	au	Oceania	Australia and New Zealand
commonwealth bank of australia	2021-02-03	17320127	node	Commonwealth Bank of Australia, 208-214, Kingaroy Street, Kingaroy, South Burnett Regional, Queensland, 4610, Australia	amenity	bank	0.401	Australia	au	Oceania	Australia and New Zealand
university of wollongong	2021-02-03	85003768	way	University of Wollongong, Dallas Street, Keiraville, Wollongong City Council, New South Wales, 2500, Australia	amenity	university	0.751344582361174	Australia	au	Oceania	Australia and New Zealand
united ki	2021-02-03	3232177	node	United Rangeway, 50, Rifle Range Road, Rangeway, Geraldton, City Of Greater Geraldton, Western Australia, 6530, Australia	amenity	fuel	0.101	Australia	au	Oceania	Australia and New Zealand
us national security council	2021-02-03	138068943	way	Security, Anna Clark Avenue, Nirimba Fields, Sydney, Blacktown City Council, New South Wales, 2763, Australia	building	university	0.301	Australia	au	Oceania	Australia and New Zealand
irvine city council	2021-02-03	258831478	relation	Mount Irvine, Blue Mountains City Council, New South Wales, 2786, Australia	boundary	administrative	0.55	Australia	au	Oceania	Australia and New Zealand
darwin	2021-02-03	16499368	node	Darwin, City of Darwin, Northern Territory, 0800, Australia	place	city	0.679885767346348	Australia	au	Oceania	Australia and New Zealand
macquarie university	2021-02-03	139533038	way	Macquarie University, University Avenue, Macquarie Park, Sydney, Council of the City of Ryde, New South Wales, 2113, Australia	amenity	university	0.669953649018245	Australia	au	Oceania	Australia and New Zealand
western australia department of parks and wildlife	2021-02-03	33111781	node	Gnaala Mia Campground, Loop 2, Williams, Shire Of Williams, Western Australia, Australia	tourism	camp_site	0.301	Australia	au	Oceania	Australia and New Zealand
geolink	2021-02-03	62868078	node	Geolink, 103, Faulkner Street, North Hill, Armidale, Armidale Regional Council, New South Wales, 2350, Australia	office	engineers	0.101	Australia	au	Oceania	Australia and New Zealand
general medical council	2021-02-03	212333308	way	Garvan Institute of Medical Research, Chaplin Street, Darlinghurst, Sydney, Council of the City of Sydney, New South Wales, 2010, Australia	building	yes	0.491360254031496	Australia	au	Oceania	Australia and New Zealand
csiro	2021-02-03	148535125	way	CSIRO, Mayfield West, Newcastle, Newcastle City Council, New South Wales, 2304, Australia	landuse	industrial	0.3	Australia	au	Oceania	Australia and New Zealand
queensland brain institute	2021-02-03	103375921	way	Queensland Brain Institute, Research Road, St Lucia, Brisbane City, Queensland, 4072, Australia	building	university	0.301	Australia	au	Oceania	Australia and New Zealand
